"ID","TRUCK_ID","STATION_ID","STATION_TYPE","BUFFER","FINISHED","STATUS","START_TIME","END_TIME","TRUCK_LOAD"
1,1,5,Shovel,Input,Yes,cc,"0","0",
2,2,7,Shovel,Input,Yes,cc,"0","0",
3,3,10,Shovel,Input,Yes,cc,"0","0",
4,4,10,Shovel,Input,Yes,cc,"0","1,42534165123457E-06",
5,5,1,Shovel,Input,Yes,cc,"0","0",
6,6,6,Shovel,Input,Yes,cc,"0","0",
7,7,6,Shovel,Input,Yes,cc,"0","1,57351864197531E-06",
8,8,2,Shovel,Input,Yes,cc,"0","0",
9,9,6,Shovel,Input,Yes,cc,"0","3,14703728395062E-06",
10,10,2,Shovel,Input,Yes,cc,"0","9,63879382716049E-07",
11,11,8,Shovel,Input,Yes,cc,"0","0",
12,12,5,Shovel,Input,Yes,cc,"0","9,8853037037037E-07",
13,13,2,Shovel,Input,Yes,cc,"0","1,9277587654321E-06",
14,14,6,Shovel,Input,Yes,cc,"0","4,72055592592593E-06",
15,15,7,Shovel,Input,Yes,cc,"0","1,43219691358025E-06",
16,16,10,Shovel,Input,Yes,cc,"0","2,85068330246914E-06",
17,17,7,Shovel,Input,Yes,cc,"0","2,86439382716049E-06",
18,18,4,Shovel,Input,Yes,cc,"0","0",
19,19,6,Shovel,Input,Yes,cc,"0","6,29407456790123E-06",
20,20,5,Shovel,Input,Yes,cc,"0","1,97706074074074E-06",
21,21,2,Shovel,Input,Yes,cc,"0","2,89163814814815E-06",
22,22,8,Shovel,Input,Yes,cc,"0","1,48323833333333E-06",
23,23,5,Shovel,Input,Yes,cc,"0","2,96559111111111E-06",
24,24,6,Shovel,Input,Yes,cc,"0","7,86759320987654E-06",
25,25,2,Shovel,Input,Yes,cc,"0","3,8555175308642E-06",
26,26,10,Shovel,Input,Yes,cc,"0","4,2760249537037E-06",
27,27,5,Shovel,Input,Yes,cc,"0","3,95412148148148E-06",
28,28,2,Shovel,Input,Yes,cc,"0","4,81939691358025E-06",
29,29,5,Shovel,Input,Yes,cc,"0","4,94265185185185E-06",
30,30,6,Shovel,Input,Yes,cc,"0","9,44111185185185E-06",
31,31,2,Shovel,Input,Yes,cc,"0","5,7832762962963E-06",
32,32,6,Shovel,Input,Yes,cc,"0","1,10146304938272E-05",
33,33,6,Shovel,Input,Yes,cc,"0","1,25881491358025E-05",
34,34,1,Shovel,Input,Yes,cc,"0","2,23201333333333E-06",
35,35,4,Shovel,Input,Yes,cc,"0","1,69336342592593E-06",
36,36,7,Shovel,Input,Yes,cc,"0","4,29659074074074E-06",
37,37,1,Shovel,Input,Yes,cc,"0","4,46402666666667E-06",
38,38,6,Shovel,Input,Yes,cc,"0","1,41616677777778E-05",
39,39,10,Shovel,Input,Yes,cc,"0","5,70136660493827E-06",
40,40,6,Shovel,Input,Yes,cc,"0","1,57351864197531E-05",
41,41,6,Shovel,Input,Yes,cc,"0","1,73087050617284E-05",
42,42,2,Shovel,Input,Yes,cc,"0","6,74715567901235E-06",
43,43,7,Shovel,Input,Yes,cc,"0","5,72878765432099E-06",
44,44,2,Shovel,Input,Yes,cc,"0","7,7110350617284E-06",
45,45,8,Shovel,Input,Yes,cc,"0","2,96647666666667E-06",
46,46,9,Shovel,Input,Yes,cc,"0","0",
47,47,10,Shovel,Input,Yes,cc,"0","7,12670825617284E-06",
48,48,9,Shovel,Input,Yes,cc,"0","1,25760944444444E-06",
49,49,6,Shovel,Input,Yes,cc,"0","1,88822237037037E-05",
50,50,6,Shovel,Input,Yes,cc,"0","2,0455742345679E-05",
51,51,6,Shovel,Input,Yes,cc,"0","2,20292609876543E-05",
52,52,7,Shovel,Input,Yes,cc,"0","6,88068865720054E-06",
53,53,10,Shovel,Input,Yes,cc,"0","8,55204990740741E-06",
54,54,5,Shovel,Input,Yes,cc,"0","5,93118222222222E-06",
55,55,5,Shovel,Input,Yes,cc,"0","6,72624686327078E-06",
56,56,5,Shovel,Input,Yes,cc,"0","7,52131150431933E-06",
57,57,6,Shovel,Input,Yes,cc,"0","2,36027796296296E-05",
58,58,1,Shovel,Input,Yes,cc,"0","6,69604E-06",
59,59,6,Shovel,Input,Yes,cc,"0","2,51762982716049E-05",
60,60,5,Shovel,Input,Yes,cc,"0","8,5098418746897E-06",
61,61,10,Shovel,Input,Yes,cc,"0","9,97739155864198E-06",
62,62,9,Shovel,Input,Yes,cc,"0","2,51521888888889E-06",
63,63,9,Shovel,Input,Yes,cc,"0","3,77282833333333E-06",
64,64,5,Shovel,Input,Yes,cc,"0","9,49837224506007E-06",
65,65,1,Shovel,Input,Yes,cc,"0","8,92805333333333E-06",
66,66,6,Shovel,Input,Yes,cc,"0","2,67498169135802E-05",
67,67,2,Shovel,Input,Yes,cc,"0","8,48627317115149E-06",
68,68,10,Shovel,Input,Yes,cc,"0","1,14027332098765E-05",
69,69,6,Shovel,Input,Yes,cc,"0","2,83233355555555E-05",
70,70,5,Shovel,Input,Yes,cc,"0","1,04869026154304E-05",
71,71,7,Shovel,Input,Yes,cc,"0","8,31288557078079E-06",
72,72,7,Shovel,Input,Yes,cc,"0","9,74508248436104E-06",
73,73,10,Shovel,Input,Yes,cc,"0","1,28280748611111E-05",
74,74,2,Shovel,Input,Yes,cc,"0","9,45015255386754E-06",
75,75,7,Shovel,Input,Yes,cc,"0","1,11772793979413E-05",
76,76,7,Shovel,Input,Yes,cc,"0","1,26094763115215E-05",
77,77,10,Shovel,Input,Yes,cc,"0","1,42534165123457E-05",
78,78,7,Shovel,Input,Yes,cc,"0","1,40416732251018E-05",
79,79,7,Shovel,Input,Yes,cc,"0","1,5473870138682E-05",
80,80,6,Shovel,Input,Yes,cc,"0","2,98968541975309E-05",
81,81,9,Shovel,Input,Yes,cc,"0","5,03043777777778E-06",
82,82,10,Shovel,Input,Yes,cc,"0","1,56787581635802E-05",
83,83,6,Shovel,Input,Yes,cc,"0","3,14703728395062E-05",
84,84,5,Shovel,Input,Yes,cc,"0","1,14754329858008E-05",
85,85,9,Shovel,Input,Yes,cc,"0","6,28804722222222E-06",
86,86,2,Shovel,Input,Yes,cc,"0","1,04140319365836E-05",
87,87,7,Shovel,Input,Yes,cc,"0","1,69060670522623E-05",
88,88,6,Shovel,Input,Yes,cc,"0","3,30438914814815E-05",
89,89,9,Shovel,Input,Yes,cc,"0","7,54565666666667E-06",
90,90,7,Shovel,Input,Yes,cc,"0","1,83382639658425E-05",
91,91,5,Shovel,Input,Yes,cc,"0","1,24639633561712E-05",
92,92,6,Shovel,Input,Yes,cc,"0","3,46174101234568E-05",
93,93,6,Shovel,Input,Yes,cc,"0","3,58829747148578E-05",
94,94,7,Shovel,Input,Yes,cc,"0","1,97704608794228E-05",
95,95,5,Shovel,Input,Yes,cc,"0","1,32590279972197E-05",
96,96,10,Shovel,Input,Yes,cc,"0","1,71040998148148E-05",
97,97,3,Shovel,Input,Yes,cc,"0","0",
98,98,9,Shovel,Input,Yes,cc,"0","8,80326611111111E-06",
99,1,5,Shovel,Processing,Yes,c,"0","9,8853037037037E-07",300
100,2,7,Shovel,Processing,Yes,c,"0","1,43219691358025E-06",300
101,3,10,Shovel,Processing,Yes,c,"0","1,42534165123457E-06",300
102,5,1,Shovel,Processing,Yes,c,"0","2,23201333333333E-06",300
103,6,6,Shovel,Processing,Yes,c,"0","1,57351864197531E-06",300
104,8,2,Shovel,Processing,Yes,c,"0","9,63879382716049E-07",300
105,11,8,Shovel,Processing,Yes,c,"0","1,48323833333333E-06",300
106,18,4,Shovel,Processing,Yes,c,"0","1,69336342592593E-06",300
107,46,9,Shovel,Processing,Yes,c,"0","1,25760944444444E-06",300
108,97,3,Shovel,Processing,Yes,c,"0","2,01438768518519E-06",300
109,8,2,Shovel,Output,Yes,v,"9,63879382716049E-07","0,391467630546049",
110,10,2,Shovel,Processing,Yes,c,"9,63879382716049E-07","1,9277587654321E-06",300
111,1,5,Shovel,Output,Yes,v,"9,8853037037037E-07","0,332723210752593",
112,12,5,Shovel,Processing,Yes,c,"9,8853037037037E-07","1,97706074074074E-06",300
113,46,9,Shovel,Output,Yes,v,"1,25760944444444E-06","0,156601257609444",
114,48,9,Shovel,Processing,Yes,c,"1,25760944444444E-06","2,51521888888889E-06",300
115,3,10,Shovel,Output,Yes,v,"1,42534165123457E-06","0,392223647563874",
116,4,10,Shovel,Processing,Yes,c,"1,42534165123457E-06","2,85068330246914E-06",300
117,2,7,Shovel,Output,Yes,v,"1,43219691358025E-06","0,267334765530247",
118,15,7,Shovel,Processing,Yes,c,"1,43219691358025E-06","2,86439382716049E-06",300
119,11,8,Shovel,Output,Yes,v,"1,48323833333333E-06","0,232168149905",
120,22,8,Shovel,Processing,Yes,c,"1,48323833333333E-06","2,96647666666667E-06",300
121,6,6,Shovel,Output,Yes,v,"1,57351864197531E-06","0,336064073518642",
122,7,6,Shovel,Processing,Yes,c,"1,57351864197531E-06","3,14703728395062E-06",300
123,18,4,Shovel,Output,Yes,v,"1,69336342592593E-06","0,292939193363426",
124,35,4,Shovel,Processing,Yes,c,"1,69336342592593E-06","3,38672685185185E-06",300
125,10,2,Shovel,Output,Yes,v,"1,9277587654321E-06","0,391468594425432",
126,13,2,Shovel,Processing,Yes,c,"1,9277587654321E-06","2,89163814814815E-06",300
127,12,5,Shovel,Output,Yes,v,"1,97706074074074E-06","0,332724199282963",
128,20,5,Shovel,Processing,Yes,c,"1,97706074074074E-06","2,96559111111111E-06",300
129,97,3,Shovel,Output,Yes,v,"2,01438768518519E-06","0,423925091310762",
130,5,1,Shovel,Output,Yes,v,"2,23201333333333E-06","0,430956777467879",
131,34,1,Shovel,Processing,Yes,c,"2,23201333333333E-06","4,46402666666667E-06",300
132,48,9,Shovel,Output,Yes,v,"2,51521888888889E-06","0,156602515218889",
133,62,9,Shovel,Processing,Yes,c,"2,51521888888889E-06","3,77282833333333E-06",300
134,4,10,Shovel,Output,Yes,v,"2,85068330246914E-06","0,392225072905525",
135,16,10,Shovel,Processing,Yes,c,"2,85068330246914E-06","4,2760249537037E-06",300
136,15,7,Shovel,Output,Yes,v,"2,86439382716049E-06","0,26733619772716",
137,17,7,Shovel,Processing,Yes,c,"2,86439382716049E-06","4,29659074074074E-06",300
138,13,2,Shovel,Output,Yes,v,"2,89163814814815E-06","0,391469558304815",
139,21,2,Shovel,Processing,Yes,c,"2,89163814814815E-06","3,8555175308642E-06",300
140,20,5,Shovel,Output,Yes,v,"2,96559111111111E-06","0,332725187813333",
141,23,5,Shovel,Processing,Yes,c,"2,96559111111111E-06","3,95412148148148E-06",300
142,22,8,Shovel,Output,Yes,v,"2,96647666666667E-06","0,232169633143333",
143,45,8,Shovel,Processing,Yes,c,"2,96647666666667E-06","4,449715E-06",300
144,7,6,Shovel,Output,Yes,v,"3,14703728395062E-06","0,336065647037284",
145,9,6,Shovel,Processing,Yes,c,"3,14703728395062E-06","4,72055592592593E-06",300
146,35,4,Shovel,Output,Yes,v,"3,38672685185185E-06","0,292940886726852",
147,62,9,Shovel,Output,Yes,v,"3,77282833333333E-06","0,156603772828333",
148,63,9,Shovel,Processing,Yes,c,"3,77282833333333E-06","5,03043777777778E-06",300
149,21,2,Shovel,Output,Yes,v,"3,8555175308642E-06","0,391470522184198",
150,25,2,Shovel,Processing,Yes,c,"3,8555175308642E-06","4,81939691358025E-06",300
151,23,5,Shovel,Output,Yes,v,"3,95412148148148E-06","0,332726176343704",
152,27,5,Shovel,Processing,Yes,c,"3,95412148148148E-06","4,94265185185185E-06",300
153,16,10,Shovel,Output,Yes,v,"4,2760249537037E-06","0,392226498247176",
154,26,10,Shovel,Processing,Yes,c,"4,2760249537037E-06","5,70136660493827E-06",300
155,17,7,Shovel,Output,Yes,v,"4,29659074074074E-06","0,267337629924074",
156,36,7,Shovel,Processing,Yes,c,"4,29659074074074E-06","5,72878765432099E-06",300
157,45,8,Shovel,Output,Yes,v,"4,449715E-06","0,232171116381667",
158,34,1,Shovel,Output,Yes,v,"4,46402666666667E-06","0,430959009481212",
159,37,1,Shovel,Processing,Yes,c,"4,46402666666667E-06","6,69604E-06",300
160,9,6,Shovel,Output,Yes,v,"4,72055592592593E-06","0,336067220555926",
161,14,6,Shovel,Processing,Yes,c,"4,72055592592593E-06","6,29407456790123E-06",300
162,25,2,Shovel,Output,Yes,v,"4,81939691358025E-06","0,39147148606358",
163,28,2,Shovel,Processing,Yes,c,"4,81939691358025E-06","5,7832762962963E-06",300
164,27,5,Shovel,Output,Yes,v,"4,94265185185185E-06","0,332727164874074",
165,29,5,Shovel,Processing,Yes,c,"4,94265185185185E-06","5,93118222222222E-06",300
166,63,9,Shovel,Output,Yes,v,"5,03043777777778E-06","0,156605030437778",
167,81,9,Shovel,Processing,Yes,c,"5,03043777777778E-06","6,28804722222222E-06",300
168,26,10,Shovel,Output,Yes,v,"5,70136660493827E-06","0,392227923588827",
169,39,10,Shovel,Processing,Yes,c,"5,70136660493827E-06","7,12670825617284E-06",300
170,36,7,Shovel,Output,Yes,v,"5,72878765432099E-06","0,267339062120988",
171,43,7,Shovel,Processing,Yes,c,"5,72878765432099E-06","6,88068865720054E-06",373
172,28,2,Shovel,Output,Yes,v,"5,7832762962963E-06","0,391472449942963",
173,31,2,Shovel,Processing,Yes,c,"5,7832762962963E-06","6,74715567901235E-06",300
174,29,5,Shovel,Output,Yes,v,"5,93118222222222E-06","0,332728153404444",
175,54,5,Shovel,Processing,Yes,c,"5,93118222222222E-06","6,72624686327078E-06",373
176,81,9,Shovel,Output,Yes,v,"6,28804722222222E-06","0,156606288047222",
177,85,9,Shovel,Processing,Yes,c,"6,28804722222222E-06","7,54565666666667E-06",300
178,14,6,Shovel,Output,Yes,v,"6,29407456790123E-06","0,336068794074568",
179,19,6,Shovel,Processing,Yes,c,"6,29407456790123E-06","7,86759320987654E-06",300
180,37,1,Shovel,Output,Yes,v,"6,69604E-06","0,430961241494545",
181,58,1,Shovel,Processing,Yes,c,"6,69604E-06","8,92805333333333E-06",300
182,54,5,Shovel,Output,Yes,v,"6,72624686327078E-06","0,332728948469085",
183,55,5,Shovel,Processing,Yes,c,"6,72624686327078E-06","7,52131150431933E-06",373
184,31,2,Shovel,Output,Yes,v,"6,74715567901235E-06","0,391473413822346",
185,42,2,Shovel,Processing,Yes,c,"6,74715567901235E-06","7,7110350617284E-06",300
186,43,7,Shovel,Output,Yes,v,"6,88068865720054E-06","0,26734021402199",
187,52,7,Shovel,Processing,Yes,c,"6,88068865720054E-06","8,31288557078079E-06",300
188,39,10,Shovel,Output,Yes,v,"7,12670825617284E-06","0,392229348930479",
189,47,10,Shovel,Processing,Yes,c,"7,12670825617284E-06","8,55204990740741E-06",300
190,55,5,Shovel,Output,Yes,v,"7,52131150431933E-06","0,332729743533727",
191,56,5,Shovel,Processing,Yes,c,"7,52131150431933E-06","8,5098418746897E-06",300
192,85,9,Shovel,Output,Yes,v,"7,54565666666667E-06","0,156607545656667",
193,89,9,Shovel,Processing,Yes,c,"7,54565666666667E-06","8,80326611111111E-06",300
194,42,2,Shovel,Output,Yes,v,"7,7110350617284E-06","0,391474377701728",
195,44,2,Shovel,Processing,Yes,c,"7,7110350617284E-06","8,48627317115149E-06",373
196,19,6,Shovel,Output,Yes,v,"7,86759320987654E-06","0,33607036759321",
197,24,6,Shovel,Processing,Yes,c,"7,86759320987654E-06","9,44111185185185E-06",300
198,52,7,Shovel,Output,Yes,v,"8,31288557078079E-06","0,267341646218904",
199,71,7,Shovel,Processing,Yes,c,"8,31288557078079E-06","9,74508248436104E-06",300
200,44,2,Shovel,Output,Yes,v,"8,48627317115149E-06","0,391475152939838",
201,67,2,Shovel,Processing,Yes,c,"8,48627317115149E-06","9,45015255386754E-06",300
202,56,5,Shovel,Output,Yes,v,"8,5098418746897E-06","0,332730732064097",
203,60,5,Shovel,Processing,Yes,c,"8,5098418746897E-06","9,49837224506007E-06",300
204,47,10,Shovel,Output,Yes,v,"8,55204990740741E-06","0,39223077427213",
205,53,10,Shovel,Processing,Yes,c,"8,55204990740741E-06","9,97739155864198E-06",300
206,89,9,Shovel,Output,Yes,v,"8,80326611111111E-06","0,156608803266111",
207,98,9,Shovel,Processing,Yes,c,"8,80326611111111E-06","1,00608755555556E-05",300
208,58,1,Shovel,Output,Yes,v,"8,92805333333333E-06","0,430963473507879",
209,65,1,Shovel,Processing,Yes,c,"8,92805333333333E-06","1,11600666666667E-05",300
210,24,6,Shovel,Output,Yes,v,"9,44111185185185E-06","0,336071941111852",
211,30,6,Shovel,Processing,Yes,c,"9,44111185185185E-06","1,10146304938272E-05",300
212,67,2,Shovel,Output,Yes,v,"9,45015255386754E-06","0,391476116819221",
213,74,2,Shovel,Processing,Yes,c,"9,45015255386754E-06","1,04140319365836E-05",300
214,60,5,Shovel,Output,Yes,v,"9,49837224506007E-06","0,332731720594467",
215,64,5,Shovel,Processing,Yes,c,"9,49837224506007E-06","1,04869026154304E-05",300
216,71,7,Shovel,Output,Yes,v,"9,74508248436104E-06","0,267343078415818",
217,72,7,Shovel,Processing,Yes,c,"9,74508248436104E-06","1,11772793979413E-05",300
218,53,10,Shovel,Output,Yes,v,"9,97739155864198E-06","0,392232199613781",
219,61,10,Shovel,Processing,Yes,c,"9,97739155864198E-06","1,14027332098765E-05",300
220,98,9,Shovel,Output,Yes,v,"1,00608755555556E-05","0,156610060875556",
221,74,2,Shovel,Output,Yes,v,"1,04140319365836E-05","0,391477080698603",
222,86,2,Shovel,Processing,Yes,c,"1,04140319365836E-05","1,13779113192996E-05",300
223,64,5,Shovel,Output,Yes,v,"1,04869026154304E-05","0,332732709124838",
224,70,5,Shovel,Processing,Yes,c,"1,04869026154304E-05","1,14754329858008E-05",300
225,30,6,Shovel,Output,Yes,v,"1,10146304938272E-05","0,336073514630494",
226,32,6,Shovel,Processing,Yes,c,"1,10146304938272E-05","1,25881491358025E-05",300
227,65,1,Shovel,Output,Yes,v,"1,11600666666667E-05","0,430965705521212",
228,72,7,Shovel,Output,Yes,v,"1,11772793979413E-05","0,267344510612731",
229,75,7,Shovel,Processing,Yes,c,"1,11772793979413E-05","1,26094763115215E-05",300
230,86,2,Shovel,Output,Yes,v,"1,13779113192996E-05","0,391478044577986",
231,61,10,Shovel,Output,Yes,v,"1,14027332098765E-05","0,392233624955432",
232,68,10,Shovel,Processing,Yes,c,"1,14027332098765E-05","1,28280748611111E-05",300
233,70,5,Shovel,Output,Yes,v,"1,14754329858008E-05","0,332733697655208",
234,84,5,Shovel,Processing,Yes,c,"1,14754329858008E-05","1,24639633561712E-05",300
235,84,5,Shovel,Output,Yes,v,"1,24639633561712E-05","0,332734686185578",
236,91,5,Shovel,Processing,Yes,c,"1,24639633561712E-05","1,32590279972197E-05",373
237,32,6,Shovel,Output,Yes,v,"1,25881491358025E-05","0,336075088149136",
238,33,6,Shovel,Processing,Yes,c,"1,25881491358025E-05","1,41616677777778E-05",300
239,75,7,Shovel,Output,Yes,v,"1,26094763115215E-05","0,267345942809645",
240,76,7,Shovel,Processing,Yes,c,"1,26094763115215E-05","1,40416732251018E-05",300
241,68,10,Shovel,Output,Yes,v,"1,28280748611111E-05","0,392235050297083",
242,73,10,Shovel,Processing,Yes,c,"1,28280748611111E-05","1,42534165123457E-05",300
243,91,5,Shovel,Output,Yes,v,"1,32590279972197E-05","0,332735481250219",
244,95,5,Shovel,Processing,Yes,c,"1,32590279972197E-05","1,42475583675901E-05",300
245,76,7,Shovel,Output,Yes,v,"1,40416732251018E-05","0,267347375006558",
246,78,7,Shovel,Processing,Yes,c,"1,40416732251018E-05","1,5473870138682E-05",300
247,33,6,Shovel,Output,Yes,v,"1,41616677777778E-05","0,336076661667778",
248,38,6,Shovel,Processing,Yes,c,"1,41616677777778E-05","1,57351864197531E-05",300
249,95,5,Shovel,Output,Yes,v,"1,42475583675901E-05","0,33273646978059",
250,73,10,Shovel,Output,Yes,v,"1,42534165123457E-05","0,392236475638735",
251,77,10,Shovel,Processing,Yes,c,"1,42534165123457E-05","1,56787581635802E-05",300
252,78,7,Shovel,Output,Yes,v,"1,5473870138682E-05","0,267348807203472",
253,79,7,Shovel,Processing,Yes,c,"1,5473870138682E-05","1,69060670522623E-05",300
254,77,10,Shovel,Output,Yes,v,"1,56787581635802E-05","0,392237900980386",
255,82,10,Shovel,Processing,Yes,c,"1,56787581635802E-05","1,71040998148148E-05",300
256,38,6,Shovel,Output,Yes,v,"1,57351864197531E-05","0,33607823518642",
257,40,6,Shovel,Processing,Yes,c,"1,57351864197531E-05","1,73087050617284E-05",300
258,79,7,Shovel,Output,Yes,v,"1,69060670522623E-05","0,267350239400386",
259,87,7,Shovel,Processing,Yes,c,"1,69060670522623E-05","1,83382639658425E-05",300
260,82,10,Shovel,Output,Yes,v,"1,71040998148148E-05","0,392239326322037",
261,96,10,Shovel,Processing,Yes,c,"1,71040998148148E-05","1,85294414660494E-05",300
262,40,6,Shovel,Output,Yes,v,"1,73087050617284E-05","0,336079808705062",
263,41,6,Shovel,Processing,Yes,c,"1,73087050617284E-05","1,88822237037037E-05",300
264,87,7,Shovel,Output,Yes,v,"1,83382639658425E-05","0,267351671597299",
265,90,7,Shovel,Processing,Yes,c,"1,83382639658425E-05","1,97704608794228E-05",300
266,96,10,Shovel,Output,Yes,v,"1,85294414660494E-05","0,392240751663688",
267,41,6,Shovel,Output,Yes,v,"1,88822237037037E-05","0,336081382223704",
268,49,6,Shovel,Processing,Yes,c,"1,88822237037037E-05","2,0455742345679E-05",300
269,90,7,Shovel,Output,Yes,v,"1,97704608794228E-05","0,267353103794213",
270,94,7,Shovel,Processing,Yes,c,"1,97704608794228E-05","2,09223618823023E-05",373
271,49,6,Shovel,Output,Yes,v,"2,0455742345679E-05","0,336082955742346",
272,50,6,Shovel,Processing,Yes,c,"2,0455742345679E-05","2,20292609876543E-05",300
273,94,7,Shovel,Output,Yes,v,"2,09223618823023E-05","0,267354255695216",
274,50,6,Shovel,Output,Yes,v,"2,20292609876543E-05","0,336084529260988",
275,51,6,Shovel,Processing,Yes,c,"2,20292609876543E-05","2,36027796296296E-05",300
276,51,6,Shovel,Output,Yes,v,"2,36027796296296E-05","0,33608610277963",
277,57,6,Shovel,Processing,Yes,c,"2,36027796296296E-05","2,51762982716049E-05",300
278,57,6,Shovel,Output,Yes,v,"2,51762982716049E-05","0,336087676298272",
279,59,6,Shovel,Processing,Yes,c,"2,51762982716049E-05","2,67498169135802E-05",300
280,59,6,Shovel,Output,Yes,v,"2,67498169135802E-05","0,336089249816914",
281,66,6,Shovel,Processing,Yes,c,"2,67498169135802E-05","2,83233355555555E-05",300
282,66,6,Shovel,Output,Yes,v,"2,83233355555555E-05","0,336090823335556",
283,69,6,Shovel,Processing,Yes,c,"2,83233355555555E-05","2,98968541975309E-05",300
284,69,6,Shovel,Output,Yes,v,"2,98968541975309E-05","0,336092396854198",
285,80,6,Shovel,Processing,Yes,c,"2,98968541975309E-05","3,14703728395062E-05",300
286,80,6,Shovel,Output,Yes,v,"3,14703728395062E-05","0,33609397037284",
287,83,6,Shovel,Processing,Yes,c,"3,14703728395062E-05","3,30438914814815E-05",300
288,83,6,Shovel,Output,Yes,v,"3,30438914814815E-05","0,336095543891482",
289,88,6,Shovel,Processing,Yes,c,"3,30438914814815E-05","3,46174101234568E-05",300
290,88,6,Shovel,Output,Yes,v,"3,46174101234568E-05","0,336097117410124",
291,92,6,Shovel,Processing,Yes,c,"3,46174101234568E-05","3,58829747148578E-05",373
292,92,6,Shovel,Output,Yes,v,"3,58829747148578E-05","0,336098382974715",
293,93,6,Shovel,Processing,Yes,c,"3,58829747148578E-05","3,71485393062589E-05",373
294,93,6,Shovel,Output,Yes,v,"3,71485393062589E-05","0,336099648539306",
295,46,2,Unload,Input,Yes,cd,"0,156601257609444","0,156601257609444",
296,46,2,Unload,Processing,Yes,d,"0,156601257609444","0,314552646498333",300
297,48,2,Unload,Input,Yes,cd,"0,156602515218889","0,314552646498333",
298,62,2,Unload,Input,Yes,cd,"0,156603772828333","0,390872090942778",
299,63,2,Unload,Input,Yes,cd,"0,156605030437778","0,587733202053889",
300,81,2,Unload,Input,Yes,cd,"0,156606288047222","0,659122090942778",
301,85,2,Unload,Input,Yes,cd,"0,156607545656667","0,744201535387222",
302,89,2,Unload,Input,Yes,cd,"0,156608803266111","0,829201535387222",
303,98,2,Unload,Input,Yes,cd,"0,156610060875556","1,00840292427611",
304,11,2,Unload,Input,Yes,cd,"0,232168149905","1,11721236872056",
305,22,2,Unload,Input,Yes,cd,"0,232169633143333","1,13326403538722",
306,45,2,Unload,Input,Yes,cd,"0,232171116381667","1,19157209094278",
307,2,5,Unload,Input,Yes,cd,"0,267334765530247","0,267334765530247",
308,2,5,Unload,Processing,Yes,d,"0,267334765530247","0,280079765530247",300
309,15,5,Unload,Input,Yes,cd,"0,26733619772716","0,280079765530247",
310,17,5,Unload,Input,Yes,cd,"0,267337629924074","0,304067821085802",
311,36,5,Unload,Input,Yes,cd,"0,267339062120988","1,34307587664136",
312,43,5,Unload,Input,Yes,cd,"0,26734021402199","1,40934143219691",
313,52,5,Unload,Input,Yes,cd,"0,267341646218904","1,44682170997469",
314,71,5,Unload,Input,Yes,cd,"0,267343078415818","1,51982670997469",
315,72,5,Unload,Input,Yes,cd,"0,267344510612731","1,53824698775247",
316,75,5,Unload,Input,Yes,cd,"0,267345942809645","1,61221170997469",
317,76,5,Unload,Input,Yes,cd,"0,267347375006558","1,63771170997469",
318,78,5,Unload,Input,Yes,cd,"0,267348807203472","1,65314587664136",
319,79,5,Unload,Input,Yes,cd,"0,267350239400386","1,68146059886358",
320,87,5,Unload,Input,Yes,cd,"0,267351671597299","1,70121754330802",
321,90,5,Unload,Input,Yes,cd,"0,267353103794213","1,71470948775247",
322,94,5,Unload,Input,Yes,cd,"0,267354255695216","1,73093976553025",
